State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,2010-11,2011-12,2012-13,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),3. Civil Advances,,4111.6,4574.8,4803.5,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),4. Others,,39072,39080,41034,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),,,2157841.2,2453300,1997565,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),1. Suspense,,584.8,5000,5250,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,,1400411.7,1518000,1015500,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,,339119.8,430000,451500,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),4. Others,,417725,500300,525315,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),XI. Appropriation to Contingency Fund,,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),XII. Miscellaneous Capital Receipts,,,3665.5,100,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),XIII. Remittances,,,112125.5,113207,118867.3,
Madhya Pradesh,TOTAL REVENUE (I+II),,,,"5,18,541.80","6,35,352.50","6,99,135.10",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),,,"3,70,578.60","4,46,749.00","4,99,164.40",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),,"2,14,193.50","2,58,884.30","2,83,119.60",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),1. Taxes on Income,"2,337.40","2,480.00","2,610.00",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),2. Taxes on Property and Capital  Transactions,"28,750.90","32,750.00","37,500.00",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),3. Taxes on Commodities and Services,"1,83,105.20","2,23,654.30","2,43,009.60",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),,"1,56,385.10","1,87,864.70","2,16,044.80",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),i) Corporation Tax,"61,125.90","75,902.20","87,287.50",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ii) Income Tax,"32,301.60","37,332.60","42,932.50",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iii) Estate Duty,–,–,–,
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iv) Other Taxes on Income and Expenditure,–,-2.7,-2.7,
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),v) Taxes on Wealth,125.4,143,164.5,
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vi) Customs,"27,346.00","31,806.80","36,577.80",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vii) Union Excise Duties,"19,893.30","24,258.70","27,897.50",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),viii) Service Tax,"15,593.00","18,424.10","21,187.70",
Madhya Pradesh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ix) Other Taxes and Duties on Commodities and Services,-0.1,–,–,
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),,,"1,47,963.30","1,88,603.50","1,99,970.70",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),,"57,197.70","69,912.00","73,268.90",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),1. Interest Receipts,"2,985.60","15,648.90","2,020.00",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),2. Dividends and Profits,322,352.8,338.2,
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),3. General Services,"3,959.50","3,409.10","3,227.90",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),4. Social Services ,"13,081.70","18,305.40","26,463.40",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),5. Fiscal Services,–,–,–,
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),6. Economic Services,"36,848.80","32,195.70","41,219.40",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),,"90,765.60","1,18,691.50","1,26,701.80",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),1. State Plan Schemes,"45,209.10","52,585.20","51,259.70",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),of which: Advance release of Plan Assistance for Natural Calamities,–,–,–,
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),2. Central Plan Schemes,"6,494.40","11,481.00","11,848.50",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),3. Centrally Sponsored Schemes,"22,700.70","31,472.10","34,297.70",
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),4. NEC/ Special Plan Scheme,–,–,–,
Madhya Pradesh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),5. Non-Plan Grants (a to c),"16,361.30","23,153.20","29,295.90",
Chhattisgarh,TOTAL INCOME (Total Capital Receipts + Tax Revenue),,,,"10,83,434.80","11,78,844.90","12,43,348.70",
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),,,,856239.3,901761.8,929562.2,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),I. External Debt #,,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),,,5924.3,35261.7,47265.4,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),1. Market Loans,,–,25461.7,25465.4,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),2. Loans from LIC,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,,690.3,2500,14500,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,,–,500,2000,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),6. WMA from RBI,,–,1800,1800,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,,5234,5000,3500,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),8. Others@,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),,,2027.6,616.1,2425.7,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,,1987.3,565.1,2365.7,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,,–,25,25,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,,40.3,26,35,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),,,5611.6,12530.7,15716.9,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),1. Housing,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,,78.6,133.1,203.6,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,,300.5,1001,3001,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,,4429.6,10030,11050,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,,52.9,143,188,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,,731.7,731.7,731.7,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,,1,0.3,0.2,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,,6.5,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+",,7,7.5,7.5,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),12. Others**,,3.7,484.2,535,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),V. Inter-State Settlement,,,26.5,0.1,0.1,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),VI. Contingency Fund,,,–,101.5,400,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",,,8252.5,8140,8340,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,,6968.2,7640,7640,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",2. Others,,1284.3,500,700,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),,,4053.8,7126.9,7951.6,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,,–,0.1,0.1,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),2. Sinking Funds,,1000,1000,2000,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,,3.4,2.9,2.9,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),4. Others,,3050.4,6123.9,5948.6,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),,,28080.8,27944.7,27944,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),1. Civil Deposits,,23161.4,20530.4,20530.4,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,,0.9,0.8,0.8,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),3. Civil Advances,,3994.7,4000,4000,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),4. Others,,923.9,3413.5,3412.9,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),,,743707.3,748339.8,747318.2,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),1. Suspense,,228.1,218.1,218.1,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,,444546.2,446021.6,445000,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,,122742.8,125000,125000,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),X. Suspense and Miscellaneous (1 to 4),4. Others,,176190.2,177100.1,177100.1,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),XI. Appropriation to Contingency Fund,,,–,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),XII. Miscellaneous Capital Receipts,,,25.7,–,–,
Chhattisgarh,TOTAL CAPITAL RECEIPTS (I to XIII),XIII. Remittances,,,58529.3,61700.2,72200.2,
Chhattisgarh,TOTAL REVENUE (I+II),,,,"2,27,195.50","2,77,083.10","3,13,786.50",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),,,"1,44,303.30","1,70,120.00","1,96,704.20",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),,"90,051.40","1,04,947.70","1,21,755.90",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),1. Taxes on Income,88.2,54.2,37.7,
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),2. Taxes on Property and Capital Transactions,"10,332.20","11,250.00","12,750.00",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),3. Taxes on Commodities and Services,"79,631.00","93,643.50","1,08,968.30",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),,"54,251.90","65,172.30","74,948.30",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),i) Corporation Tax,"21,205.20","26,331.20","30,280.90",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ii) Income Tax,"11,205.70","12,951.10","14,893.80",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iii) Estate Duty,–,–,–,
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),iv) Other Taxes on Income and Expenditure,–,-1.2,-1.2,
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),v) Taxes on Wealth,43.5,49.6,57,
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vi) Customs,"9,486.60","11,034.10","12,689.20",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),vii) Union Excise Duties,"6,901.20","8,415.60","9,677.90",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),viii) Service Tax,"5,409.70","6,391.90","7,350.70",
Chhattisgarh,TOTAL REVENUE (I+II),I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),ix) Other Taxes and Duties on Commodities and Services,–,–,–,
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),,,"82,892.20","1,06,963.20","1,17,082.20",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),,"38,353.20","45,371.80","53,455.60",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),1. Interest Receipts,"1,709.50","3,024.00","3,085.50",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),2. Dividends and Profits,43,30,30,
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),3.General Services,602.3,531.7,563.7,
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),4.Social Services ,"1,316.20",460.1,385.5,
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),5.Fiscal Services,–,–,–,
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),6.Economic Services,"34,682.20","41,326.10","49,390.90",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),,"44,539.00","61,591.40","63,626.60",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),1. State Plan Schemes,"25,394.40","30,694.50","33,599.80",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),2. Central Plan Schemes,479.5,"4,307.80","3,961.60",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),3. Centrally Sponsored Schemes,"8,385.80","13,043.70","12,743.60",
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),4. NEC/ Special Plan Scheme,–,–,–,
Chhattisgarh,TOTAL REVENUE (I+II),II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),5. Non-Plan Grants (a to c),"10,279.20","13,545.40","13,321.50",
Goa,TOTAL INCOME (Total Capital Receipts + Tax Revenue),,,,"2,02,801.10","2,17,149.90","2,37,661.80",
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),,,,148381.7,156619.3,167324.5,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),I. External Debt #,,,–,–,–,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),,,7171.6,6451.8,9701.8,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),1. Market Loans,,3000,5000,7000,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),2. Loans from LIC,,–,–,–,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,,–,–,–,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,,973,450,1000,
Goa,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,,1.3,1.8,1.8,
