State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,Display Name,2010,2011,2012
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",,"Total Capital Receipts- State Provident Funds, etc.",Income-Tot.State Provident Funds,17373.5,18900,19845
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,Total Capital Receipts- State Provident Funds,Income-State Provident Funds,16186.9,17500,18375
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",2. Others,Total Capital Receipts-State Provident Funds-Others,Income-Other fund,1186.6,1400,1470
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),,Reserve Funds,Reserve Funds ,11917.3,18168.7,24744.8
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,Depreciation or Renewal Reserve Funds,Depreciation Funds,2.2,3.8,4
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),2. Sinking Funds,Sinking Funds, Sinking Funds,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,Famine Relief Fund,Famine Relief Fund,4.4,7,7.4
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),4. Others,Reserve Funds-Others,Other reserves,11910.6,18157.9,24733.4
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),,Deposits and Advances,Deposits and Advances ,97241.4,85703.5,89988.6
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),1. Civil Deposits,Civil Deposits Income,Civil Deposits Income,53860,41998.7,44098.6
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,Deposits of Local Funds,Deposits of Local Funds,197.8,50,52.5
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),3. Civil Advances,Civil Advances Income,Civil Advances Income,4111.6,4574.8,4803.5
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),4. Others,Deposits and Advances -Others,Other deposits,39072,39080,41034
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),,Suspense and Miscellaneous,Suspense and Misc. ,2157841.2,2453300,1997565
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),1. Suspense,Suspense,Suspense,584.8,5000,5250
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,Cash Balance Investment Accounts,Cash Balance,1400411.7,1518000,1015500
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,Deposits with RBI,Deposits with RBI,339119.8,430000,451500
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),4. Others,Miscellaneous-Others,Miscellaneous,417725,500300,525315
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,XI. Appropriation to Contingency Fund,,Appropriation to Contingency Fund,Appropriation ,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,XII. Miscellaneous Capital Receipts,,Miscellaneous Capital Receipts,Misc. Capital Receipts,3665.5,100,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,XIII. Remittances,,Remittances,Remittances,112125.5,113207,118867.3
MADHYA PRADESH,TOTAL REVENUE,,,TOTAL REVENUE,Tot. Revenue,518541.8,635352.5,699135.1
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),,TAX REVENUE,Tax Revenue,370578.6,446749,499164.4
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),State's Own Tax Revenue,own tax revenue,214193.5,258884.3,283119.6
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Income,tax-income,2337.4,2480,2610
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Property and Capital  Transactions,tax-property,28750.9,32750,37500
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Commodities and Services,tax-comm.&services,183105.2,223654.3,243009.6
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Share in Central Taxes (i to,central taxes,156385.1,187864.7,216044.8
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Corporation Tax,corp. tax,61125.9,75902.2,87287.5
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Income Tax,income tax,32301.6,37332.6,42932.5
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Estate Duty,estate duty,NA,NA,NA
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes on Income and Expenditure,other taxes,NA,-2.7,-2.7
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Taxes on Wealth,tax-walth,125.4,143,164.5
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Customs,customs,27346,31806.8,36577.8
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Union Excise Duties,excise duty,19893.3,24258.7,27897.5
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Service Tax,service tax,15593,18424.1,21187.7
MADHYA PRADESH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes and Duties on Commodities and Services,other duty,-0.1,NA,NA
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),,NON-TAX REVENUE,non tax revenue,147963.3,188603.5,199970.7
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),State's Own Non-Tax Revenue,own non tax revenue,57197.7,69912,73268.9
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Interest Receipts,interest,2985.6,15648.9,2020
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Dividends and Profits,dividend,322,352.8,338.2
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),General Services,Rev.general services,3959.5,3409.1,3227.9
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Social Services,Rev.social services,13081.7,18305.4,26463.4
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Non Tax Rev.Fiscal Services,Rev.fiscal services,NA,NA,NA
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Economic Services,Rev.economic services,36848.8,32195.7,41219.4
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grants from the Centre,centre grant,90765.6,118691.5,126701.8
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-State Plan Schemes,state grant,45209.1,52585.2,51259.7
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-Central Plan Schemes,central grant,6494.4,11481,11848.5
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Grant-Centrally Sponsored Schemes,centrally sponsered grant,22700.7,31472.1,34297.7
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),NEC or Special Plan Scheme,special scheme,NA,NA,NA
MADHYA PRADESH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),D. Grants from the Centre (1 to 5),Non-Plan Grants,non plan Grants,16361.3,23153.2,29295.9
CHHATTISGARH,TOTAL INCOME,,,TOTAL INCOME,Tot. Income,1083434.8,1178844.9,1243348.7
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,,,TOTAL CAPITAL RECEIPTS,Tot. Cap. Receipts,856239.3,901761.8,929562.2
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,I. External Debt #,,External Debt,Ext. Debt,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),,Internal Debt,Int. Debt,5924.3,35261.7,47265.4
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),1. Market Loans,Market Loans,Market Loans,NA,25461.7,25465.4
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),2. Loans from LIC,Loans from LIC,Loan-LIC,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,Loans from SBI and other Banks,Loan-SBI,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,Loans from National Bank for Agriculture and Rural Development,Loan-NBARD,690.3,2500,14500
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,Loans from National Co-operative Development Corporation,Loan-NCDC,NA,500,2000
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),6. WMA from RBI,WMA from RBI,WMA-RBI,NA,1800,1800
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,Special Securities issued to NSSF,Securities-NSSF,5234,5000,3500
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),8. Others@,Internal Debt-Others,Oth-Debt,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),,Loans and Advances from the Centre,Loan from centre,2027.6,616.1,2425.7
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,State Plan Schemes,state plan,1987.3,565.1,2365.7
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,Central Plan Schemes,central plan,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,Centrally Sponsored Schemes,centrally sponsered,NA,25,25
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,Non-Plan,non -plan Loans,40.3,26,35
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,Ways and Means Advances from Centre,advances,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,Loans for Special Schemes,special scheme,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),,Recovery of Loans and Advances,recovery,5611.6,12530.7,15716.9
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),1. Housing,Housing,Housing,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,Urban Development,Urb. Dev.,78.6,133.1,203.6
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,Crop Husbandry,Crop Husbandry,300.5,1001,3001
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,Food Storage and Warehousing,Food Storage,4429.6,10030,11050
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,Co-operation,Co-operation,52.9,143,188
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,Minor Irrigation,Minor Irrigation,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,Power Projects,Power Projects,731.7,731.7,731.7
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,Village and Small Industries,Village and Small Industries,1,0.3,0.2
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,Industries and Minerals,Industries and Minerals,6.5,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,Road Transport,Road Transport,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+","Government Servants, etc.+",Govt. Servants,7,7.5,7.5
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),12. Others**,Recovery of Loands and Advances-Others,Other-loan,3.7,484.2,535
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,V. Inter-State Settlement,,Inter-State Settlement, Inter-State Settlement,26.5,0.1,0.1
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,VI. Contingency Fund,,Contingency Fund,Contingency Fund,NA,101.5,400
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",,"Total Capital Receipts- State Provident Funds, etc.",Tot.State Provident Funds,8252.5,8140,8340
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,Total Capital Receipts- State Provident Funds,State Provident Funds,6968.2,7640,7640
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,"VII. State Provident Funds, etc. (1 + 2)",2. Others,Total Capital Receipts-State Provident Funds-Others,Other fund,1284.3,500,700
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),,Reserve Funds,Reserve Funds ,4053.8,7126.9,7951.6
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,Depreciation or Renewal Reserve Funds,Depreciation Funds,NA,0.1,0.1
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),2. Sinking Funds,Sinking Funds, Sinking Funds,1000,1000,2000
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,Famine Relief Fund,Famine Relief Fund,3.4,2.9,2.9
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,VIII. Reserve Funds (1 to 4),4. Others,Reserve Funds-Others,Other reserves,3050.4,6123.9,5948.6
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),,Deposits and Advances,Deposits and Advances ,28080.8,27944.7,27944
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),1. Civil Deposits,Civil Deposits Income,Civil Deposits,23161.4,20530.4,20530.4
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,Deposits of Local Funds,Deposits of Local Funds,0.9,0.8,0.8
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),3. Civil Advances,Civil Advances Income,Civil Advances,3994.7,4000,4000
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,IX. Deposits and Advances (1 to 4),4. Others,Deposits and Advances -Others,Other deposits,923.9,3413.5,3412.9
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),,Suspense and Miscellaneous,Suspense and Misc. ,743707.3,748339.8,747318.2
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),1. Suspense,Suspense,Suspense Income,228.1,218.1,218.1
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),2. Cash Balance Investment Accounts,Cash Balance Investment Accounts,Cash Balance,444546.2,446021.6,445000
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),3. Deposits with RBI,Deposits with RBI,Income-Deposits with RBI,122742.8,125000,125000
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,X. Suspense and Miscellaneous (1 to 4),4. Others,Miscellaneous-Others,Miscellaneous,176190.2,177100.1,177100.1
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,XI. Appropriation to Contingency Fund,,Appropriation to Contingency Fund,Appropriation ,NA,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,XII. Miscellaneous Capital Receipts,,Miscellaneous Capital Receipts,Misc. Capital Receipts,25.7,NA,NA
CHHATTISGARH,TOTAL CAPITAL RECEIPTS,XIII. Remittances,,Remittances,Remittances,58529.3,61700.2,72200.2
CHHATTISGARH,TOTAL REVENUE,,,TOTAL REVENUE,Tot. Revenue,227195.5,277083.1,313786.5
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),,TAX REVENUE,Tax Revenue,144303.3,170120,196704.2
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),State's Own Tax Revenue,own tax revenue,90051.4,104947.7,121755.9
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Income,tax-income,88.2,54.2,37.7
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Property and Capital  Transactions,tax-property,10332.2,11250,12750
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),A. State's Own Tax Revenue (1 to 3),Taxes on Commodities and Services,tax-comm.&services,79631,93643.5,108968.3
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Share in Central Taxes (i to,central taxes,54251.9,65172.3,74948.3
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Corporation Tax,corp. tax,21205.2,26331.2,30280.9
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Income Tax,income tax,11205.7,12951.1,14893.8
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Estate Duty,estate duty,NA,NA,NA
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes on Income and Expenditure,other taxes,NA,-1.2,-1.2
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Taxes on Wealth,tax-walth,43.5,49.6,57
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Customs,customs,9486.6,11034.1,12689.2
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Union Excise Duties,excise duty,6901.2,8415.6,9677.9
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Service Tax,service tax,5409.7,6391.9,7350.7
CHHATTISGARH,TOTAL REVENUE,I. TAX REVENUE (A+B),B. Share in Central Taxes (i to ix),Other Taxes and Duties on Commodities and Services,other duty,NA,NA,NA
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),,NON-TAX REVENUE,non tax revenue,82892.2,106963.2,117082.2
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),State's Own Non-Tax Revenue,own non tax revenue,38353.2,45371.8,53455.6
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Interest Receipts,interest,1709.5,3024,3085.5
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Dividends and Profits,dividend,43,30,30
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),General Services,general services,602.3,531.7,563.7
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Social Services,social services,1316.2,460.1,385.5
CHHATTISGARH,TOTAL REVENUE,II. NON-TAX REVENUE (C+D),C. State's Own Non-Tax Revenue (1 to 6),Fiscal Services,fiscal services,NA,NA,NA
