State,From Year,To Year,Category,Sub-category,Display Names,Total,% To India,% To State,Males,% To Total,Females,% To Total,All India Total,All India Males,All India Females,All States,All India Figs
HIMACHAL PRADESH,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
UTTARAKHAND,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
UTTARAKHAND,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
MADHYA PRADESH,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
WEST BENGAL,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
MAHARASHTRA,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),0,,,,,,,0.32,,,,
BIHAR,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
ARUNACHAL PRADESH,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,0,,,,,,,1007,,,,
ARUNACHAL PRADESH,,2012,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),0,,,,,,,341.12,,,,
ARUNACHAL PRADESH,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
ASSAM,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
MANIPUR,2010,2011,INDUSTRY & INFRASTRUCTURE,Total Persons Engaged (in million), Industry-Persons Engaged (Mn),0,,,,,,,12.7,,,,
MEGHALAYA,,2012,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),0,,,,,,,341.12,,,,
MEGHALAYA,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),0,,,,,,,64600,,,,
MEGHALAYA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),0,,,,,,,,,,,
MEGHALAYA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),0,,,,,,,211622,,,,
MEGHALAYA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
MEGHALAYA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
MEGHALAYA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
MEGHALAYA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
MIZORAM,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
MIZORAM,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,0,,,,,,,2894,,,,
MIZORAM,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
MIZORAM,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
MIZORAM,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
NAGALAND,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
NAGALAND,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,0,,,,,,,2894,,,,
NAGALAND,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,0,,,,,,,2074,,,,
NAGALAND,2010,2011,INDUSTRY & INFRASTRUCTURE,Total Persons Engaged (in million), Industry-Persons Engaged (Mn),0,,,,,,,12.7,,,,
NAGALAND,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
NAGALAND,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
NAGALAND,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
SIKKIM,,2011,HEALTH,No of Dispensaries ,Dispensaries ,0,,,,,,,24146,,,,
SIKKIM,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),0,,,,,,,64600,,,,
SIKKIM,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Domestic),Airports (Domestic),0,,,,,,,,,,,
SIKKIM,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),0,,,,,,,211622,,,,
SIKKIM,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
SIKKIM,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
SIKKIM,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
SIKKIM,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
TRIPURA,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
TRIPURA,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Major Ports,Major Ports,0,,,,,,,,,,,
TRIPURA,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Non-Major Ports,Non-Major Ports,0,,,,,,,,,,,
TRIPURA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
TRIPURA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
TRIPURA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
ORISSA,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
ORISSA,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
ORISSA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
ORISSA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
PUDUCHERRY,,2011,HOUSEHOLD ASSETS,Houses Using Solar Power (in %),Houses -Solar Power (%),0,,,,,,,0.4,,,,
PUDUCHERRY,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
PUDUCHERRY,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,,,,,
PUDUCHERRY,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
PUDUCHERRY,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
LAKSHADWEEP,2011,2012,POPULATION,Population Below Poverty Line (in million),BPL Population(Mn),0,,2.77,,,,,,,,,
LAKSHADWEEP,2011,2012,POPULATION,Rural Population Below Poverty Line (in million),BPL Population-Rur(Mn),0,,0,,,,,,,,,
LAKSHADWEEP,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),0,,3.44,,,,,,,,,
LAKSHADWEEP,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),0,,12.54,,,,,117.6,,,,
LAKSHADWEEP,,2011,HOUSEHOLD ASSETS,Houses Using Solar Power (in %),Houses -Solar Power (%),0,,,,,,,0.4,,,,
LAKSHADWEEP,,2011,HOUSEHOLD ASSETS,Houses Using Oil (in %),Houses -Oil ( %),0,,,,,,,0.2,,,,
LAKSHADWEEP,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0,,,,,,,6.4,,,,
LAKSHADWEEP,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,0,,,,,,,2894,,,,
LAKSHADWEEP,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,0,,,,,,,2074,,,,
LAKSHADWEEP,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,0,,,,,,,3292,,,,
LAKSHADWEEP,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Major Ports,Major Ports,0,,,,,,,,,,,
LAKSHADWEEP,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Domestic),Avg Cargo per Day(ton) (Dom.),0,,,,,,,1599,,,,
DAMAN & DIU,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),0,,0,,,,,,,,,
DAMAN & DIU,,2011,HOUSEHOLD ASSETS,Houses Using Oil (in %),Houses -Oil ( %),0,,,,,,,0.4,,,,
DAMAN & DIU,,2011,HOUSEHOLD ASSETS,Houses With Latrines (available in premises) (in %),Houses -Latrines in premises ( %),0,,,,,,,0.2,,,,
DAMAN & DIU,2010,2011,EDUCATION,Gross Enrollment Ratio (GER) Primary,GER-Primary,0,,,,,,,6.4,,,,
DAMAN & DIU,2009,2010,EDUCATION,Colleges & Polytechnics-Medical,Colleges-Medical,0,,,,,,,2894,,,,
DAMAN & DIU,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,0,,,,,,,2074,,,,
DAMAN & DIU,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,0,,,,,,,3292,,,,
DAMAN & DIU,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),0,,,,,,,7347,,,,
DAMAN & DIU,,2012,HEALTH,No of Dispensaries ,Dispensaries ,0,,,,,,,160862,,,,
DAMAN & DIU,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Non-Major Ports,Non-Major Ports,0,,,,,,,,,,,
DAMAN & DIU,,2010,INDUSTRY & INFRASTRUCTURE,No of Airports (Intl),Airports (Intl),0,,,,,,,1599,,,,
DADRA & NAGAR HAVELI,,2011,HOUSEHOLD ASSETS,Houses Using Solar Power (in %),Houses -Solar Power (%),0,,,,,,,0.4,,,,
DADRA & NAGAR HAVELI,,2011,HOUSEHOLD ASSETS,Houses Using Oil (in %),Houses -Oil ( %),0,,,,,,,0.2,,,,
DADRA & NAGAR HAVELI,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0,,,,,,,6.4,,,,
DADRA & NAGAR HAVELI,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
DADRA & NAGAR HAVELI,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,0,,,,,,,2894,,,,
DADRA & NAGAR HAVELI,2009,2010,EDUCATION,Colleges & Polytechnics-Others,Colleges-Others,0,,,,,,,3292,,,,
DADRA & NAGAR HAVELI,,2011,HEALTH,No of Dispensaries ,Dispensaries ,0,,,,,,,24146,,,,
DADRA & NAGAR HAVELI,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Major Ports,Major Ports,0,,,,,,,,,,,
DADRA & NAGAR HAVELI,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Non-Major Ports,Non-Major Ports,0,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2011,2012,POPULATION,Population Below Poverty Line (in million),BPL Population(Mn),0,,1,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2011,2012,POPULATION,Rural Population Below Poverty Line (in million),BPL Population-Rur(Mn),0,,1.57,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),0,,0,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2009,2010,EDUCATION,Colleges and Polytechnics-Engineering or Technology or Architecture,Colleges-Engineering,0,,,,,,,2894,,,,
ANDAMAN & NICOBAR ISLANDS,2010,2011,INDUSTRY & INFRASTRUCTURE,Industry-Total Persons Engaged (in million), Industry-Persons Engaged (Mn),0,,,,,,,12.7,,,,
ANDAMAN & NICOBAR ISLANDS,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Major Ports,Major Ports,0,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),0,,,,,,,93769,,,,
ANDAMAN & NICOBAR ISLANDS,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
CHANDIGARH,2011,2012,POPULATION,Rural Population Below Poverty Line (in million),BPL Population-Rur(Mn),0,,1.64,,,,,,,,,
CHANDIGARH,,2011,POPULATION,Rural Child Population (0-6 Years) (in million),Child Population-Rur(Mn),0,,14.67,,,,,117.6,,,,
CHANDIGARH,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Major Ports,Major Ports,0,,,,,,,,,,,
CHANDIGARH,,2008,INDUSTRY & INFRASTRUCTURE,Total No of Non-Major Ports,Non-Major Ports,0,,,,,,,,,,,
UTTAR PRADESH,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
KERALA,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,823162,,,,
ANDHRA PRADESH,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,823162,,,,
KARNATAKA,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,823162,,,,
KARNATAKA,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,0,,,,,,,3292,,,,
GOA,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,823162,,,,
GOA,2009,2010,EDUCATION,Colleges and Polytechnics-Education orTeacher training,Colleges -Education,0,,,,,,,3292,,,,
MEGHALAYA,2010,2011,INDUSTRY & INFRASTRUCTURE,Total Persons Engaged (in million), Industry-Persons Engaged (Mn),0.01,,,,,,,12.7,,,,
MIZORAM,,2012,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),0.01,,,,,,,341.12,,,,
SIKKIM,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),0.01,,3.66,,,,,,,,,
SIKKIM,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),0.01,,9.25,,,,,41.2,,,,
SIKKIM,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.01,,,,,,,6.4,,,,
SIKKIM,2010,2011,INDUSTRY & INFRASTRUCTURE,Total Persons Engaged (in million), Industry-Persons Engaged (Mn),0.01,,,,,,,12.7,,,,
PUDUCHERRY,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.01,,,,,,,6.4,,,,
LAKSHADWEEP,,2011,POPULATION,Child Population (0-6 Years) (in Million),Child Population(Mn),0.01,,11,, ,,,158.8,,,,
LAKSHADWEEP,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),0.01,,10.57,,,,,41.2,,,,
LAKSHADWEEP,,2011,POPULATION,Rural Population (in million),Population-Rur(Mn),0.01,,21.92,0.01, ,0.01,,833.1,427.9,405.2,,
LAKSHADWEEP,,2011,INDUSTRY & INFRASTRUCTURE,Motor Vehicles (in million),Motor Vehicles (Mn),0.01,,,,,,,141.86,,,,
DAMAN & DIU,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),0.01,,11.99,,,,,117.6,,,,
ANDAMAN & NICOBAR ISLANDS,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),0.01,,9.55,,,,,41.2,,,,
ANDAMAN & NICOBAR ISLANDS,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.01,,,,,,,6.4,,,,
CHANDIGARH,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.01,,,,,,,6.4,,,,
GOA,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.01,,,,,,,115.63,,,,
ARUNACHAL PRADESH,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.02,,,,,,,6.4,,,,
MIZORAM,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.02,,,,,,,6.4,,,,
NAGALAND,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.02,,,,,,,6.4,,,,
LAKSHADWEEP,,2011,HOUSEHOLD ASSETS,Total No of Census Houses (in million),Total Houses(Mn),0.02,,,,,,,330.8,,,,
DAMAN & DIU,,2011,POPULATION,Rural Population (in million),Population-Rur(Mn),0.02,,10.21,,,,,41.2,,,,
DADRA & NAGAR HAVELI,,2011,POPULATION,Urban Child Population (0-6 Years) (in million),Child Population-Urb(Mn),0.02,,13.47,,,,,41.2,,,,
HIMACHAL PRADESH,2011,2012,POPULATION,Urban Population Below Povery Line (in million),BPL Population-Urb(Mn),0.03,,4.33,,,,,,,,,
ASSAM,,2012,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),0.03,,,,,,,341.12,,,,
MANIPUR,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.03,,,,,,,6.4,,,,
TRIPURA,2010,2011,EDUCATION,No of Teachers (in million),Teachers (Mn),0.03,,,,,,,6.4,,,,
TRIPURA,2010,2011,INDUSTRY & INFRASTRUCTURE,Total Persons Engaged (in million), Industry-Persons Engaged (Mn),0.03,,,,,,,12.7,,,,
ORISSA,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),0.03,,,,,,,0.32,,,,
DAMAN & DIU,2011,2012,POPULATION,Rural Population Below Poverty Line (in million),BPL Population-Rur(Mn),0.03,,9.86,,,,,,,,,
DAMAN & DIU,2011,2012,POPULATION,Per Capita Income (Data at 2004-05 prices) (in Rs),Per capita Income,0.03,,12.62,,,,,,,,,
